series,x_position,value,color_r,color_g,color_b
series_2,14,34.44444444444444,202,192,201
series_2,15,34.44444444444444,202,192,201
series_2,16,44.074074074074076,202,192,201
series_2,19,36.2962962962963,202,192,201
series_2,20,35.92592592592593,202,192,201
series_2,21,50.37037037037037,202,192,201
series_2,22,50.37037037037037,202,192,201
series_2,23,39.25925925925926,202,192,201
series_2,25,34.074074074074076,202,192,201
series_2,26,21.11111111111111,202,192,201
series_2,27,27.77777777777778,202,192,201
series_2,28,27.77777777777778,202,192,201
series_2,29,41.48148148148148,202,192,201
series_2,30,33.33333333333333,202,192,201
series_2,31,38.51851851851852,202,192,201
series_2,34,32.22222222222222,202,192,201
series_2,35,31.48148148148148,202,192,201
series_2,37,28.14814814814815,202,192,201
series_2,40,21.11111111111111,202,192,201
series_2,42,38.51851851851852,202,192,201
series_2,43,36.666666666666664,202,192,201
series_2,45,34.074074074074076,202,192,201
series_2,47,30.74074074074074,202,192,201
series_2,48,21.11111111111111,202,192,201
series_2,49,34.44444444444444,202,192,201
series_2,52,33.33333333333333,202,192,201
series_2,53,34.074074074074076,202,192,201
series_2,54,34.074074074074076,202,192,201
series_2,55,33.33333333333333,202,192,201
series_2,58,35.18518518518518,202,192,201
series_2,60,31.48148148148148,202,192,201
series_2,61,21.11111111111111,202,192,201
series_2,62,35.92592592592593,202,192,201
series_2,64,34.81481481481482,202,192,201
series_2,66,29.259259259259256,202,192,201
series_2,69,38.148148148148145,202,192,201
series_2,70,38.51851851851852,202,192,201
series_2,72,34.44444444444444,202,192,201
series_2,73,40.370370370370374,202,192,201
series_2,75,43.7037037037037,202,192,201
series_2,76,43.333333333333336,202,192,201
series_2,77,42.96296296296296,202,192,201
series_2,78,38.148148148148145,202,192,201
series_2,79,41.85185185185185,202,192,201
series_2,81,36.666666666666664,202,192,201
series_2,82,42.22222222222222,202,192,201
series_2,84,37.03703703703704,202,192,201
series_2,86,49.629629629629626,202,192,201
series_2,87,21.11111111111111,202,192,201
series_2,88,35.92592592592593,202,192,201
series_2,89,43.333333333333336,202,192,201
series_2,90,42.96296296296296,202,192,201
series_2,91,46.2962962962963,202,192,201
series_2,93,29.629629629629626,202,192,201
series_2,94,38.148148148148145,202,192,201
series_2,96,45.925925925925924,202,192,201
series_2,98,39.62962962962963,202,192,201
series_2,99,40.0,202,192,201
series_4,12,32.592592592592595,126,107,124
series_4,17,30.74074074074074,126,107,124
series_4,25,33.7037037037037,126,107,124
series_4,27,27.40740740740741,126,107,124
series_4,30,32.96296296296296,126,107,124
series_4,32,30.74074074074074,126,107,124
series_4,39,27.40740740740741,126,107,124
series_4,42,34.074074074074076,126,107,124
series_4,44,32.96296296296296,126,107,124
series_4,47,30.0,126,107,124
series_4,54,32.96296296296296,126,107,124
series_4,57,35.92592592592593,126,107,124
series_4,59,31.11111111111111,126,107,124
series_4,69,36.2962962962963,126,107,124
series_4,71,31.851851851851855,126,107,124
series_4,74,40.370370370370374,126,107,124
series_4,76,39.62962962962963,126,107,124
series_4,84,36.2962962962963,126,107,124
series_4,86,42.96296296296296,126,107,124
series_4,89,36.2962962962963,126,107,124
series_4,91,37.407407407407405,126,107,124
series_4,96,45.18518518518518,126,107,124
series_4,98,30.0,126,107,124
